Event,Team1,Team2,Map,Score1,Score2,Winner,Region1,Region2
Masters Bangkok 2025,Team Vitality,T1,Bind,13,9,Team Vitality,EMEA,Pacific
Masters Bangkok 2025,G2 Esports,Trace Esports,Lotus,13,8,G2 Esports,Americas,CN
Masters Bangkok 2025,G2 Esports,Trace Esports,Abyss,13,3,G2 Esports,Americas,CN
Masters Bangkok 2025,DRX,Team Vitality,Bind,8,13,Team Vitality,Pacific,EMEA
Masters Bangkok 2025,DRX,Team Vitality,Abyss,13,11,DRX,Pacific,EMEA
Masters Bangkok 2025,DRX,Team Vitality,Split,11,13,Team Vitality,Pacific,EMEA
Masters Bangkok 2025,EDward Gaming,G2 Esports,Pearl,16,18,G2 Esports,CN,Americas
Masters Bangkok 2025,EDward Gaming,G2 Esports,Bind,13,8,EDward Gaming,CN,Americas
Masters Bangkok 2025,EDward Gaming,G2 Esports,Fracture,13,4,EDward Gaming,CN,Americas
Masters Bangkok 2025,T1,Trace Esports,Lotus,13,3,T1,Pacific,CN
Masters Bangkok 2025,T1,Trace Esports,Haven,13,8,T1,Pacific,CN
Masters Bangkok 2025,Team Liquid,Sentinels,Lotus,7,13,Sentinels,EMEA,Americas
Masters Bangkok 2025,Team Liquid,Sentinels,Abyss,16,14,Team Liquid,EMEA,Americas
Masters Bangkok 2025,Team Liquid,Sentinels,Bind,13,1,Team Liquid,EMEA,Americas
Masters Bangkok 2025,T1,DRX,Fracture,13,11,T1,Pacific,Pacific
Masters Bangkok 2025,T1,DRX,Pearl,13,4,T1,Pacific,Pacific
Masters Bangkok 2025,G2 Esports,Team Liquid,Haven,13,5,G2 Esports,Americas,EMEA
Masters Bangkok 2025,G2 Esports,Team Liquid,Lotus,13,7,G2 Esports,Americas,EMEA
Masters Bangkok 2025,EDward Gaming,T1,Split,13,7,EDward Gaming,CN,Pacific
Masters Bangkok 2025,EDward Gaming,T1,Bind,6,13,T1,CN,Pacific
Masters Bangkok 2025,EDward Gaming,T1,Pearl,13,11,EDward Gaming,CN,Pacific
Masters Bangkok 2025,Team Vitality,G2 Esports,Bind,13,15,G2 Esports,EMEA,Americas
Masters Bangkok 2025,Team Vitality,G2 Esports,Lotus,9,13,G2 Esports,EMEA,Americas
Masters Bangkok 2025,EDward Gaming,G2 Esports,Lotus,8,13,G2 Esports,CN,Americas
Masters Bangkok 2025,EDward Gaming,G2 Esports,Split,7,13,G2 Esports,CN,Americas
Masters Bangkok 2025,T1,Team Vitality,Lotus,12,14,Team Vitality,Pacific,EMEA
Masters Bangkok 2025,T1,Team Vitality,Haven,13,4,T1,Pacific,EMEA
Masters Bangkok 2025,T1,Team Vitality,Split,13,5,T1,Pacific,EMEA
Masters Bangkok 2025,EDward Gaming,T1,Bind,4,13,T1,CN,Pacific
Masters Bangkok 2025,EDward Gaming,T1,Haven,10,13,T1,CN,Pacific
Masters Bangkok 2025,EDward Gaming,T1,Fracture,14,12,EDward Gaming,CN,Pacific
Masters Bangkok 2025,EDward Gaming,T1,Split,5,13,T1,CN,Pacific
Masters Bangkok 2025,Team International,Team Thailand,Ascent,9,13,Team Thailand,Pacific,Pacific
Masters Bangkok 2025,G2 Esports,T1,Lotus,13,5,G2 Esports,Americas,Pacific
Masters Bangkok 2025,G2 Esports,T1,Haven,9,13,T1,Americas,Pacific
Masters Bangkok 2025,G2 Esports,T1,Abyss,13,11,G2 Esports,Americas,Pacific
Masters Bangkok 2025,G2 Esports,T1,Split,13,15,T1,Americas,Pacific
Masters Bangkok 2025,G2 Esports,T1,Pearl,14,16,T1,Americas,Pacific
Masters Toronto 2025,Team Heretics,Paper Rex,Pearl,1,13,Paper Rex,EMEA,Pacific
Masters Toronto 2025,Team Heretics,Paper Rex,Icebox,9,13,Paper Rex,EMEA,Pacific
Masters Toronto 2025,Guangzhou Huadu Bilibili Gaming(Bilibili Gaming),Team Liquid,Icebox,13,10,Guangzhou Huadu Bilibili Gaming(Bilibili Gaming),CN,EMEA
Masters Toronto 2025,Guangzhou Huadu Bilibili Gaming(Bilibili Gaming),Team Liquid,Haven,14,16,Team Liquid,CN,EMEA
Masters Toronto 2025,Guangzhou Huadu Bilibili Gaming(Bilibili Gaming),Team Liquid,Sunset,13,10,Guangzhou Huadu Bilibili Gaming(Bilibili Gaming),CN,EMEA
Masters Toronto 2025,Sentinels,Wolves Esports,Split,13,11,Sentinels,Americas,CN
Masters Toronto 2025,Sentinels,Wolves Esports,Lotus,13,8,Sentinels,Americas,CN
Masters Toronto 2025,Gen.G,MIBR,Sunset,13,5,Gen.G,Pacific,Americas
Masters Toronto 2025,Gen.G,MIBR,Haven,13,1,Gen.G,Pacific,Americas
Masters Toronto 2025,Guangzhou Huadu Bilibili Gaming(Bilibili Gaming),Sentinels,Icebox,13,9,Guangzhou Huadu Bilibili Gaming(Bilibili Gaming),CN,Americas
Masters Toronto 2025,Guangzhou Huadu Bilibili Gaming(Bilibili Gaming),Sentinels,Sunset,5,13,Sentinels,CN,Americas
Masters Toronto 2025,Guangzhou Huadu Bilibili Gaming(Bilibili Gaming),Sentinels,Lotus,9,13,Sentinels,CN,Americas
Masters Toronto 2025,Paper Rex,Gen.G,Ascent,11,13,Gen.G,Pacific,Pacific
Masters Toronto 2025,Paper Rex,Gen.G,Icebox,3,13,Gen.G,Pacific,Pacific
Masters Toronto 2025,Team Heretics,Wolves Esports,Pearl,10,13,Wolves Esports,EMEA,CN
Masters Toronto 2025,Team Heretics,Wolves Esports,Lotus,9,13,Wolves Esports,EMEA,CN
Masters Toronto 2025,Team Liquid,MIBR,Icebox,13,6,Team Liquid,EMEA,Americas
Masters Toronto 2025,Team Liquid,MIBR,Sunset,13,7,Team Liquid,EMEA,Americas
Masters Toronto 2025,Guangzhou Huadu Bilibili Gaming(Bilibili Gaming),Wolves Esports,Split,10,13,Wolves Esports,CN,CN
Masters Toronto 2025,Guangzhou Huadu Bilibili Gaming(Bilibili Gaming),Wolves Esports,Ascent,5,13,Wolves Esports,CN,CN
Masters Toronto 2025,Paper Rex,Team Liquid,Split,13,15,Team Liquid,Pacific,EMEA
Masters Toronto 2025,Paper Rex,Team Liquid,Sunset,13,5,Paper Rex,Pacific,EMEA
Masters Toronto 2025,Paper Rex,Team Liquid,Lotus,14,12,Paper Rex,Pacific,EMEA
Masters Toronto 2025,G2 Esports,Paper Rex,Split,10,13,Paper Rex,Americas,Pacific
Masters Toronto 2025,G2 Esports,Paper Rex,Lotus,11,13,Paper Rex,Americas,Pacific
Masters Toronto 2025,Xi Lai Gaming,Sentinels,Sunset,6,13,Sentinels,CN,Americas
Masters Toronto 2025,Xi Lai Gaming,Sentinels,Lotus,6,13,Sentinels,CN,Americas
Masters Toronto 2025,Rex Regum Qeon,Wolves Esports,Ascent,11,13,Wolves Esports,Pacific,CN
Masters Toronto 2025,Rex Regum Qeon,Wolves Esports,Icebox,8,13,Wolves Esports,Pacific,CN
Masters Toronto 2025,FNATIC,Gen.G,Haven,11,13,Gen.G,EMEA,Pacific
Masters Toronto 2025,FNATIC,Gen.G,Split,14,12,FNATIC,EMEA,Pacific
Masters Toronto 2025,FNATIC,Gen.G,Sunset,6,13,Gen.G,EMEA,Pacific
Masters Toronto 2025,Xi Lai Gaming,G2 Esports,Icebox,3,13,G2 Esports,CN,Americas
Masters Toronto 2025,Xi Lai Gaming,G2 Esports,Haven,8,13,G2 Esports,CN,Americas
Masters Toronto 2025,Rex Regum Qeon,FNATIC,Lotus,5,13,FNATIC,Pacific,EMEA
Masters Toronto 2025,Rex Regum Qeon,FNATIC,Haven,13,6,Rex Regum Qeon,Pacific,EMEA
Masters Toronto 2025,Rex Regum Qeon,FNATIC,Ascent,5,13,FNATIC,Pacific,EMEA
Masters Toronto 2025,Wolves Esports,Gen.G,Split,13,11,Wolves Esports,CN,Pacific
Masters Toronto 2025,Wolves Esports,Gen.G,Sunset,13,9,Wolves Esports,CN,Pacific
Masters Toronto 2025,Sentinels,Paper Rex,Split,3,13,Paper Rex,Americas,Pacific
Masters Toronto 2025,Sentinels,Paper Rex,Sunset,11,13,Paper Rex,Americas,Pacific
Masters Toronto 2025,Gen.G,G2 Esports,Lotus,7,13,G2 Esports,Pacific,Americas
Masters Toronto 2025,Gen.G,G2 Esports,Haven,13,11,Gen.G,Pacific,Americas
Masters Toronto 2025,Gen.G,G2 Esports,Icebox,11,13,G2 Esports,Pacific,Americas
Masters Toronto 2025,Sentinels,FNATIC,Sunset,13,9,Sentinels,Americas,EMEA
Masters Toronto 2025,Sentinels,FNATIC,Ascent,7,13,FNATIC,Americas,EMEA
Masters Toronto 2025,Sentinels,FNATIC,Icebox,9,13,FNATIC,Americas,EMEA
Masters Toronto 2025,Paper Rex,Wolves Esports,Lotus,14,12,Paper Rex,Pacific,CN
Masters Toronto 2025,Paper Rex,Wolves Esports,Ascent,13,8,Paper Rex,Pacific,CN
Masters Toronto 2025,G2 Esports,FNATIC,Lotus,10,13,FNATIC,Americas,EMEA
Masters Toronto 2025,G2 Esports,FNATIC,Split,10,13,FNATIC,Americas,EMEA
Masters Toronto 2025,Wolves Esports,FNATIC,Split,9,13,FNATIC,CN,EMEA
Masters Toronto 2025,Wolves Esports,FNATIC,Icebox,4,13,FNATIC,CN,EMEA
Masters Toronto 2025,Wolves Esports,FNATIC,Lotus,13,10,Wolves Esports,CN,EMEA
Masters Toronto 2025,Wolves Esports,FNATIC,Ascent,5,13,FNATIC,CN,EMEA
Masters Toronto 2025,Team tarik,Team Toast,Corrode,7,13,Team Toast,Americas,Americas
Masters Toronto 2025,Paper Rex,FNATIC,Sunset,13,11,Paper Rex,Pacific,EMEA
Masters Toronto 2025,Paper Rex,FNATIC,Icebox,15,17,FNATIC,Pacific,EMEA
Masters Toronto 2025,Paper Rex,FNATIC,Pearl,13,10,Paper Rex,Pacific,EMEA
Masters Toronto 2025,Paper Rex,FNATIC,Lotus,14,12,Paper Rex,Pacific,EMEA
